House_ownership_present,Bank_account_present,flooring_materials_present,roofing_materials_present,walls_materials_present,House type_present,Seperate room for cooking_present,type of toilet_present,Main source of lightening_present,Main fuel for cooking_present,source of drinking water_present,House ownership,M14A2-Mattress At present,M14A3-Pressure cooker _ At present,M14A4-Chair _ At present,M14A5-Cot / Bed _ At present,M14A6-Table _ At present,M14A10-Clock or Watch _ At present,M14A7-Electric fan _ At present,M14A8-Radio / Transistor _ At present,M14A9-Sewing machine _ At present,M14A11-Bicycle _ At present,M14A12-Black and White television _ At present,M14A13-Colour television _ At present,M14A14-Mobile phone _ At present,M14A15-Landline Phone _ At present,M14A16-Refrigerator? At present,M14A17-Air conditioner / Cooler _ At present,M14A18-Washing Machine? At present,M14A19-Internet? At present,M14A20-Computer? At present,M14A21-Motorcycle/scooter? At present,M14A22-Car/Jeep _ At present,M14A23-Water pump _ At present,M14A24-Thresher _ At present,M14A25-Tractor _ At present,M14A26-Animal drawn cart _ At present,M14A27-Open well _ At present,M14A28-Bore well _ At present,M14A29-Private Pond _ At present,M14A30-Equipment for drip irrigation/ Sprinkler _ At present,M14A31-Tiller/ Cultivator _ At present,M14A32-Plough disc/ mould board _ At present,M14A33-Seed drill _ At present,M14A34-Power sprayer _ At present,M14A35-Chaff cutter _ At present,M14A36-Weeders _ At present,M14A37-Other mechanized three/four_wheeler agricultural equipment _ At present,M14A38-Trolley (for tractor) _ At present,M14A39-Livestock sheds _ At present,M14A40-Fish boat _ At present,M14A41-Other fishing equipment _ At present,Annual household income 2018-19 (~june - July)
1,1,1.0,2.0,1,2.0,0,1,1,1,1,1,2,0,6,2,1,2,2,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,2,1,8,2,2,3,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1106600
1,1,1.0,2.0,1,2.0,1,1,1,1,1,1,3,1,8,5,3,3,4,0,0,1,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172000
1,1,1.0,2.0,1,2.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,890800
1,1,2.0,2.0,2,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,198000
1,1,2.0,2.0,2,1.0,1,1,1,2,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060
1,1,2.0,2.0,2,1.0,1,1,1,1,2,1,2,1,4,2,1,1,2,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400
1,1,1.0,2.0,1,2.0,0,1,1,1,2,1,0,1,4,3,1,1,3,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43700
1,1,1.0,2.0,1,2.0,0,1,1,2,2,1,0,1,4,3,1,1,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46600
1,1,1.0,2.0,2,2.0,1,1,1,2,1,1,0,0,2,2,1,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300700
1,1,1.0,2.0,3,2.0,0,1,1,2,1,1,0,0,4,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,270000
1,1,1.0,2.0,3,2.0,0,1,1,2,1,1,0,0,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173050
1,1,3.0,2.0,3,2.0,1,1,1,1,1,1,0,7,5,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374770
1,1,3.0,2.0,3,2.0,1,1,1,2,1,1,1,2,6,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80270
1,1,3.0,2.0,3,2.0,1,1,1,1,1,1,1,2,6,4,3,1,1,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000
1,1,3.0,2.0,2,2.0,1,1,1,1,1,0,8,4,6,5,4,3,3,0,0,0,0,1,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840000
1,1,2.0,2.0,2,1.0,0,1,1,1,1,1,6,5,6,3,0,1,0,0,0,0,0,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14270
1,1,3.0,2.0,2,2.0,1,1,1,1,1,1,5,7,18,5,3,1,0,0,1,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71270
1,1,3.0,2.0,2,2.0,0,1,1,1,1,1,2,4,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31770
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,3,5,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20270
1,1,3.0,2.0,2,2.0,1,1,1,2,1,1,3,1,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,215070
1,1,2.0,2.0,2,1.0,1,1,1,2,1,1,4,2,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150270
1,1,3.0,2.0,3,2.0,1,1,1,2,1,1,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184770
1,1,3.0,2.0,2,2.0,1,1,1,2,1,1,5,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,167040
1,1,3.0,2.0,2,2.0,0,1,1,1,1,1,3,3,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53070
1,1,3.0,2.0,2,2.0,0,1,1,1,1,1,6,3,5,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42370
1,1,2.0,2.0,2,1.0,0,1,1,1,1,1,3,2,4,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90900
1,1,2.0,2.0,2,1.0,0,1,1,1,1,1,3,3,5,4,2,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128750
1,1,2.0,2.0,2,1.0,1,1,1,1,1,1,4,3,6,4,2,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000
1,1,3.0,2.0,1,2.0,1,2,1,2,1,1,2,1,5,2,1,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,144000
1,1,2.0,2.0,2,1.0,1,1,1,1,1,1,4,5,8,4,3,2,3,0,0,0,0,1,4,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,352800
1,1,3.0,2.0,2,2.0,1,1,1,1,1,1,0,3,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000
1,1,3.0,2.0,1,2.0,1,1,1,1,1,1,3,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87250
1,1,3.0,2.0,2,2.0,1,2,1,1,1,1,3,3,5,3,1,1,2,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,82000
1,1,3.0,2.0,1,2.0,1,1,1,1,1,1,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83500
1,1,3.0,2.0,2,2.0,1,1,1,2,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74100
1,1,2.0,2.0,2,1.0,0,1,1,1,1,1,3,2,4,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72500
1,1,3.0,1.0,1,2.0,0,1,1,2,1,1,2,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,2,5,6,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600
1,1,3.0,2.0,1,2.0,1,1,1,1,1,1,2,5,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,1,1,5,1,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
1,1,1.0,2.0,3,2.0,1,1,1,2,2,1,2,0,6,3,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144000
1,1,1.0,2.0,3,2.0,1,1,1,2,2,1,1,1,5,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44200
1,1,2.0,2.0,2,1.0,1,1,1,2,2,1,1,1,13,4,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
1,0,1.0,2.0,1,2.0,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400
1,1,2.0,2.0,3,2.0,1,1,1,2,1,1,2,1,4,2,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000
1,1,1.0,2.0,1,2.0,1,1,1,2,1,1,2,1,2,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000
1,1,1.0,2.0,1,2.0,1,1,1,2,1,1,1,1,1,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32500
1,1,2.0,2.0,2,1.0,1,1,1,2,1,1,2,0,8,2,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000
1,1,1.0,2.0,3,2.0,1,1,1,2,2,1,3,1,3,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,1,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000
1,1,1.0,2.0,3,2.0,1,1,1,2,2,1,3,1,2,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200
1,1,1.0,2.0,3,2.0,1,1,1,2,2,1,3,0,3,3,2,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,1,0,2,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,0,0,5,3,1,1,2,0,0,1,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24440
1,1,3.0,2.0,2,2.0,1,1,1,1,2,1,0,0,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
1,1,1.0,2.0,3,2.0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83100
1,1,1.0,2.0,3,2.0,1,1,1,1,2,1,2,0,4,2,1,1,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
1,1,1.0,2.0,3,2.0,1,2,1,2,1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700
1,1,1.0,2.0,1,2.0,0,1,1,2,2,1,2,0,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95800
1,1,1.0,2.0,2,2.0,1,2,1,2,1,1,2,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61050
1,1,1.0,2.0,1,2.0,1,2,1,2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75700
1,1,1.0,2.0,1,2.0,0,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26500
1,1,1.0,2.0,1,2.0,1,2,1,2,1,1,2,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80850
1,1,1.0,2.0,2,2.0,1,1,1,2,1,1,0,0,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85166
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
1,1,2.0,2.0,1,2.0,0,1,1,2,1,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78200
1,1,2.0,2.0,1,2.0,0,1,1,2,1,1,2,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38850
1,1,1.0,2.0,1,2.0,0,1,1,2,1,1,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59550
1,1,1.0,2.0,1,2.0,0,1,1,2,1,1,3,1,1,3,1,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94950
1,1,2.0,2.0,1,2.0,0,1,1,2,1,1,3,1,1,3,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000
1,1,2.0,2.0,1,2.0,0,1,1,2,1,1,5,2,17,6,3,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61450
1,1,2.0,2.0,1,2.0,0,1,1,2,1,1,2,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46750
1,1,3.0,1.0,2,2.0,0,1,1,2,1,1,2,1,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53400
1,1,2.0,2.0,1,2.0,1,2,1,2,1,1,4,2,4,5,5,1,0,0,0,0,0,1,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,218800
1,1,2.0,2.0,1,2.0,1,2,1,2,1,1,3,0,0,3,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-10600
1,1,2.0,2.0,1,2.0,1,2,1,2,3,1,3,1,3,3,3,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,21000
1,1,2.0,2.0,1,2.0,1,2,1,2,3,1,3,1,1,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3700
1,1,1.0,2.0,2,2.0,1,2,1,2,3,1,3,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7800
1,1,1.0,2.0,1,2.0,1,2,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10300
1,1,2.0,2.0,2,1.0,1,2,1,2,2,1,2,0,2,2,1,1,2,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75440
1,1,2.0,2.0,1,2.0,1,1,1,2,2,1,2,0,3,3,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,52480
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,1,0,3,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60650
1,1,2.0,2.0,1,2.0,1,1,1,1,1,1,2,0,3,2,1,1,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67680
1,1,1.0,2.0,1,2.0,1,1,1,2,1,1,2,0,4,2,1,1,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86180
1,1,2.0,2.0,2,1.0,1,1,1,1,1,1,2,1,2,2,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159980
1,1,1.0,2.0,1,2.0,1,1,1,1,1,1,2,0,3,2,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74280
1,1,2.0,2.0,2,1.0,1,2,1,1,2,1,2,0,3,2,1,1,3,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276000
1,1,1.0,2.0,2,2.0,1,2,1,1,2,1,2,0,2,2,1,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000
1,1,2.0,2.0,2,1.0,1,2,1,1,2,1,4,0,2,4,0,2,4,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133100
1,1,2.0,2.0,2,1.0,1,2,1,2,2,1,2,0,2,2,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202640
1,1,1.0,2.0,3,2.0,1,1,1,1,2,1,1,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89866
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,1,0,2,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
1,1,1.0,2.0,1,2.0,1,1,1,2,2,1,1,0,3,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,135000
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,1,0,4,2,1,1,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,150000
1,1,1.0,2.0,1,2.0,1,2,1,2,2,1,2,0,3,2,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,56100
1,1,1.0,2.0,1,2.0,1,2,1,1,2,1,2,0,6,2,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109180
1,1,1.0,2.0,1,2.0,1,2,1,1,2,1,2,1,2,2,2,2,2,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396000
1,1,1.0,2.0,1,2.0,1,2,1,1,2,1,2,1,2,2,1,2,2,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105060
1,1,2.0,2.0,1,2.0,1,1,1,1,2,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94000
1,1,2.0,2.0,1,2.0,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72000
1,1,1.0,2.0,1,2.0,0,2,1,1,2,1,1,1,3,2,1,1,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60000
0,1,1.0,2.0,1,2.0,1,2,1,1,1,1,2,0,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86400
1,1,1.0,2.0,1,2.0,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000
1,1,3.0,2.0,2,2.0,1,1,1,1,1,1,0,3,6,2,1,1,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000
1,1,3.0,2.0,1,2.0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,2,3,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69600
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59500
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,1,3,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59600
1,1,3.0,2.0,1,2.0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000
1,1,2.0,2.0,1,2.0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96000
